New Zealand, NZL, Asia Pacific, 90
Denmark, DNK, Europe and Central Asia, 90
Finland,FIN,Europe and Central Asia,89
Sweden,SWE,Europe and Central Asia,88
Switzerland,CHE,Europe and Central Asia,86
Norway,NOR,Europe and Central Asia,85
Singapore,SGP,Asia Pacific,84
Netherlands,NLD,Europe and Central Asia,83
Canada,CAN,Americas,82
Germany,DEU,Europe and Central Asia,81
Luxembourg,LUX,Europe and Central Asia,81
United Kingdom,GBR,Europe and Central Asia,81
Australia,AUS,Asia Pacific,79
Iceland,ISL,Europe and Central Asia,78
Hong Kong,HKG,Asia Pacific,77
Belgium,BEL,Europe and Central Asia,77
Austria,AUT,Europe and Central Asia,75
The United States of America,USA,Americas,74
Ireland,IRL,Europe and Central Asia,73
Japan,JPN,Asia Pacific,72
Uruguay,URY,Americas,71
Estonia,EST,Europe and Central Asia,70
France,FRA,Europe and Central Asia,69
Bahamas,BHS,Americas,66
Chile,CHL,Americas,66
United Arab Emirates,ARE,Middle East and North Africa,66
Bhutan,BTN,Asia Pacific,65
Israel,ISR,Middle East and North Africa,64
Poland,POL,Europe and Central Asia,62
Portugal,PRT,Europe and Central Asia,62
Barbados,BRB,Americas,61
Taiwan,TWN,Asia Pacific,61
Qatar,QAT,Middle East and North Africa,61
Slovenia,SVN,Europe and Central Asia,61
Saint Lucia,LCA,Americas,60
Saint Vincent and The Grenadines,VCT,Americas,60
Botswana,BWA,Sub-Saharan Africa,60
Dominica,DMA,Americas,59
Cape Verde,CPV,Sub-Saharan Africa,59
Lithuania,LTU,Europe and Central Asia,59
Costa Rica,CRI,Americas,58
Brunei,BRN,Asia Pacific,58
Spain,ESP,Europe and Central Asia,58
Georgia,GEO,Europe and Central Asia,57
Latvia,LVA,Europe and Central Asia,57
Grenada,GRD,Americas,56
Cyprus,CYP,Europe and Central Asia,55
Czech Republic,CZE,Europe and Central Asia,55
Malta,MLT,Europe and Central Asia,55
Mauritius,MUS,Sub-Saharan Africa,54
Rwanda,RWA,Sub-Saharan Africa,54
Korea (South),KOR,Asia Pacific,53
Namibia,NAM,Sub-Saharan Africa,52
Slovakia,SVK,Europe and Central Asia,51
Malaysia,MYS,Asia Pacific,49
Croatia,HRV,Europe and Central Asia,49
Jordan,JOR,Middle East and North Africa,48
Hungary,HUN,Europe and Central Asia,48
Romania,ROM,Europe and Central Asia,48
Cuba,CUB,Americas,47
Italy,ITA,Europe and Central Asia,47
Saudi Arabia,SAU,Middle East and North Africa,46
Sao Tome and Principe,STP,Sub-Saharan Africa,46
Suriname,SUR,Americas,45
Montenegro,MON,Europe and Central Asia,45
Oman,OMN,Middle East and North Africa,45
Senegal,SEN,Sub-Saharan Africa,45
South Africa,ZAF,Sub-Saharan Africa,45
Greece,GRC,Europe and Central Asia,44
Bahrain,BHR,Middle East and North Africa,43
Ghana,GHA,Sub-Saharan Africa,43
Solomon Islands,SLB,Asia Pacific,42
Serbia,SCG,Europe and Central Asia,42
Burkina Faso,BFA,Sub-Saharan Africa,42
Turkey,TUR,Europe and Central Asia,41
Kuwait,KWT,Middle East and North Africa,41
Tunisia,TUN,Middle East and North Africa,41
Bulgaria,BGR,Europe and Central Asia,41
Brazil,BRA,Americas,40
China,CHN,Asia Pacific,40
India,IND,Asia Pacific,40
Belarus,BLR,Europe and Central Asia,40
Jamaica,JAM,Americas,39
Albania,ALB,Europe and Central Asia,39
Bosnia and Herzegovina,BIH,Europe and Central Asia,39
Lesotho,LSO,Sub-Saharan Africa,39
Panama,PAN,Americas,38
Mongolia,MNG,Asia Pacific,38
Zambia,ZMB,Sub-Saharan Africa,38
Colombia,COL,Americas,37
Indonesia,IDN,Asia Pacific,37
The FYR of Macedonia,MKD,Europe and Central Asia,37
Morocco,MAR,Middle East and North Africa,37
Liberia,LBR,Sub-Saharan Africa,37
Argentina,ARG,Americas,36
El Salvador,SLV,Americas,36
Maldives,MDV,Asia Pacific,36
Sri Lanka,LKA,Asia Pacific,36
Kosovo,LWI,Europe and Central Asia,36
Benin,BEN,Sub-Saharan Africa,36
Peru,PER,Americas,35
Trinidad and Tobago,TTO,Americas,35
Philippines,PHL,Asia Pacific,35
Thailand,THA,Asia Pacific,35
Timor-Leste,TLS,Asia Pacific,35
Gabon,GAB,Sub-Saharan Africa,35
Niger,NER,Sub-Saharan Africa,35
Guyana,GUY,Americas,34
Algeria,DZA,Middle East and North Africa,34
Egypt,EGY,Middle East and North Africa,34
Côte d’Ivoire,CIV,Sub-Saharan Africa,34
Ethiopia,ETH,Sub-Saharan Africa,34
Bolivia,BOL,Americas,33
Vietnam,VNM,Asia Pacific,33
Armenia,ARM,Europe and Central Asia,33
Pakistan,PAK,Asia Pacific,32
Mali,MLI,Sub-Saharan Africa,32
Tanzania,TZA,Sub-Saharan Africa,32
Togo,TGO,Sub-Saharan Africa,32
Dominican Republic,DOM,Americas,31
Ecuador,ECU,Americas,31
Malawi,MWI,Sub-Saharan Africa,31
Honduras,HND,Americas,30
Mexico,MEX,Americas,30
Paraguay,PRY,Americas,30
Laos,LAO,Asia Pacific,30
Azerbaijan,AZE,Europe and Central Asia,30
Moldova,MDA,Europe and Central Asia,30
Djibouti,DJI,Sub-Saharan Africa,30
Sierra Leone,SLE,Sub-Saharan Africa,30
Nepal,NPL,Asia Pacific,29
Kazakhstan,KAZ,Europe and Central Asia,29
Russia,RUS,Europe and Central Asia,29
Ukraine,UKR,Europe and Central Asia,29
Iran,IRN,Middle East and North Africa,29
Guatemala,GTM,Americas,28
Myanmar,MMR,Asia Pacific,28
Papua New Guinea,PNG,Asia Pacific,28
Kyrgyzstan,KGZ,Europe and Central Asia,28
Lebanon,LBN,Middle East and North Africa,28
Nigeria,NGA,Sub-Saharan Africa,28
Guinea,GIN,Sub-Saharan Africa,27
Mauritania,MRT,Sub-Saharan Africa,27
Mozambique,MOZ,Sub-Saharan Africa,27
Nicaragua,NIC,Americas,26
Bangladesh,BGD,Asia Pacific,26
Cameroon,CMR,Sub-Saharan Africa,26
Gambia,GMB,Sub-Saharan Africa,26
Kenya,KEN,Sub-Saharan Africa,26
Madagascar,MDG,Sub-Saharan Africa,26
Tajikistan,TJK,Europe and Central Asia,25
Uganda,UGA,Sub-Saharan Africa,25
Comoros,COM,Sub-Saharan Africa,24
Turkmenistan,TKM,Europe and Central Asia,22
Zimbabwe,ZWE,Sub-Saharan Africa,22
Cambodia,KHM,Asia Pacific,21
Uzbekistan,UZB,Europe and Central Asia,21
The Democratic Republic of Congo,COD,Sub-Saharan Africa,21
Haiti,HTI,Americas,20
Burundi,BDI,Sub-Saharan Africa,20
Central African Republic,CAF,Sub-Saharan Africa,20
Chad,TCD,Sub-Saharan Africa,20
Republic of Congo,COG,Sub-Saharan Africa,20
Angola,AGO,Sub-Saharan Africa,18
Eritrea,ERI,Sub-Saharan Africa,18
Venezuela,VEN,Americas,17
Iraq,IRQ,Middle East and North Africa,17
Guinea-Bissau,GNB,Sub-Saharan Africa,16
Afghanistan,AFG,Asia Pacific,15
Libya,LBY,Middle East and North Africa,14
Yemen,YEM,Middle East and North Africa,14
Sudan,SDN,Sub-Saharan Africa,14
Syria,SYR,Middle East and North Africa,13
Korea (North),PRK,Asia Pacific,12
South Sudan,SSD,Sub-Saharan Africa,11
Somalia,SOM,Sub-Saharan Africa,10
